Designator,Mid X,Mid Y,Layer,Rotation
3V3_REG1,13.335,7.62,TOP,0
BUT0,26.67,18.415,TOP,270
BUT1,8.89,18.415,TOP,270
C1,17.78,7.62,TOP,270
C2,10.16,7.62,TOP,270
C3,12.7,15.367,TOP,90
C5,16.51,7.62,TOP,270
FORCE_RESET,26.67,31.115,TOP,180
J1,17.78,2.8615,TOP,180
JP1,10.795,31.115,TOP,180
PA0_LED,6.35,10.16,TOP,180
PA1_LED,6.35,7.62,TOP,180
PA2_LED,6.35,5.08,TOP,180
PA3_LED,6.35,2.54,TOP,180
PA4_LED,29.21,2.54,TOP,0
PA5_LED,29.21,5.08,TOP,0
PA6_LED,29.21,7.62,TOP,0
PA7_LED,29.21,10.16,TOP,0
PWR_LED,10.16,2.54,TOP,180
R3,26.035,11.43,TOP,180
R4,26.035,8.89,TOP,180
R5,6.35,8.89,TOP,0
R6,6.35,6.35,TOP,0
R7,6.35,3.81,TOP,0
R8,29.21,3.81,TOP,180
R9,29.21,6.35,TOP,180
R10,29.21,8.89,TOP,180
R11,29.21,11.43,TOP,180
R13,19.685,20.32,TOP,0
R16,10.16,3.81,TOP,0
R18,15.875,20.32,TOP,180
R25,6.35,11.43,TOP,0
U$1,17.78,15.24,TOP,270
U1,21.59,8.255,TOP,0
U5,24.638,3.302,TOP,270
